rfc,title,year,tags,full_paths
RFC955,Towards a transport service for transaction processing applications,1985,tcp;udp,transport / tcp | transport / udp
RFC956,Algorithms for synchronizing network clocks,1985,time-synchronization,network-operations / time-synchronization
RFC957,Experiments in network clock synchronization,1985,time-synchronization,network-operations / time-synchronization
RFC958,Network Time Protocol (NTP),1985,ntp,network-operations / time-synchronization / ntp
RFC959,File Transfer Protocol,1985,ftp,applications-and-data-formats / ftp
RFC960,Assigned numbers,1985,iana,governance-and-process / iana
RFC961,Official ARPA-Internet protocols,1985,ietf-process,governance-and-process / ietf-process
RFC962,TCP-4 prime,1985,tcp,transport / tcp
RFC963,Some problems with the specification of the Military Standard Internet Protocol,1985,internet-governance,governance-and-process / internet-governance
RFC964,Some problems with the specification of the Military Standard Transmission Control Protocol,1985,tcp;internet-governance,governance-and-process / internet-governance | transport / tcp
RFC965,Format for a graphical communication protocol,1985,network-graphics,applications-and-data-formats / network-graphics
RFC966,Host groups: A multicast extension to the Internet Protocol,1985,multicast,routing / multicast
RFC967,All victims together,1985,arpanet,link-layer / arpanet
RFC968,Twas the night before start-up,1985,internet-history,governance-and-process / internet-history
RFC969,NETBLT: A bulk data transfer protocol,1985,netblt,transport / netblt
RFC970,On Packet Switches With Infinite Storage,1985,aqm,transport / congestion-control / aqm
RFC971,Survey of data representation standards,1986,onc-rpc;mime,applications-and-data-formats / storage / onc-rpc | messaging / mime
RFC972,Password Generator Protocol,1986,randomness,security / cryptography / randomness
RFC973,Domain system changes and observations,1986,dns,naming-and-discovery / dns
RFC974,Mail routing and the domain system,1986,dns,naming-and-discovery / dns
RFC975,Autonomous confederations,1986,egp,routing / egp
RFC976,UUCP mail interchange format standard,1986,uucp,messaging / uucp
RFC977,Network News Transfer Protocol,1986,nntp,messaging / netnews / nntp
RFC978,Voice File Interchange Protocol (VFIP),1986,codecs,real-time-communications / codecs
RFC979,PSN End-to-End functional specification,1986,arpanet,link-layer / arpanet
RFC980,Protocol document order information,1986,ietf-process,governance-and-process / ietf-process
RFC981,Experimental multiple-path routing algorithm,1986,privacy,security / privacy
RFC982,Guidelines for the specification of the structure of the Domain Specific Part (DSP) of the ISO standard NSAP address,1986,addressing,internet-layer / addressing
RFC983,ISO transport arrives on top of the TCP,1986,tcp;osi,internet-layer / osi | transport / tcp
RFC984,PCMAIL: A distributed mail system for personal computers,1986,email,messaging / email
RFC985,Requirements for Internet gateways - draft,1986,routing-architecture,routing / routing-architecture
RFC986,Guidelines for the use of Internet-IP addresses in the ISO Connectionless-Mode Network Protocol,1986,clnp;osi,internet-layer / osi | internet-layer / osi / clnp
RFC987,Mapping between X.400 and RFC 822,1986,x400,messaging / x400
RFC988,Host extensions for IP multicasting,1986,multicast,routing / multicast
RFC989,Privacy enhancement for Internet electronic mail: Part I: Message encipherment and authentication procedures,1987,email;privacy,messaging / email | security / privacy
RFC990,Assigned numbers,1986,iana,governance-and-process / iana
RFC991,Official ARPA-Internet protocols,1986,ietf-process,governance-and-process / ietf-process
RFC992,On communication support for fault tolerant process groups,1986,multicast,routing / multicast
